stationID,name,longitude,latitude
350,"Clinton St & Grand St",-73.9870295,40.71559509
3317,"10 St & 5 Ave",-73.98700053,40.6686273
297,"E 15 St & 3 Ave",-73.986923,40.734232
423,"W 54 St & 9 Ave",-73.98690506,40.76584941
3804,"Front St & Jay St",-73.986842,40.702461
474,"5 Ave & E 29 St",-73.98683077,40.7451677
3674,"Jay St & York St",-73.98672670125961,40.701403172577244
237,"E 11 St & 2 Ave",-73.98672378,40.73047309
465,"Broadway & W 41 St",-73.98658032,40.75513557
3762,"3 Ave & Carroll St",-73.9865,40.677027
3744,"1 Ave & E 5 St",-73.986389,40.725864
323,"Lawrence St & Willoughby St",-73.98631746,40.69236178
3737,"Stanton St & Norfolk St",-73.986274,40.720747
3411,"Bond St & Bergen St",-73.98620772,40.6849668
491,"E 24 St & Park Ave S",-73.98602213,40.74096374
3656,"E 2 St & Avenue A",-73.98583620786667,40.72307749068673
438,"St Marks Pl & 1 Ave",-73.98564945,40.72779126
3166,"Riverside Dr & W 72 St",-73.98562431335449,40.78057799010334
3313,"6 Ave & 12 St",-73.9854617,40.6663181
3404,"7 St & 5 Ave",-73.98541675,40.6704922
410,"Suffolk St & Stanton St",-73.98517977,40.72066442
447,"8 Ave & W 52 St",-73.9851615,40.76370739
526,"E 33 St & 5 Ave",-73.98490707,40.74765947
291,"Madison St & Montgomery St",-73.984844,40.713126
278,"Concord St & Bridge St",-73.98476437,40.69766564
325,"E 19 St & 3 Ave",-73.98473765,40.73624527
3356,"Amsterdam Ave & W 66 St",-73.98470567,40.7746671
3785,"W 42 St & 6 Ave",-73.98455,40.75492
173,"Broadway & W 49 St",-73.9845272898674,40.76068327096592
3486,"Schermerhorn St & Bond St",-73.98451656103134,40.688417427540834
3420,"Douglass St & 3 Ave",-73.98432695,40.6802133
390,"Duffield St & Willoughby St",-73.9842844,40.69221589
3911,"Wyckoff St & Nevins St",-73.984275,40.683426
326,"E 11 St & 1 Ave",-73.98426726,40.72953837
3310,"14 St & 7 Ave",-73.98396846,40.663779
432,"E 7 St & Avenue A",-73.98379855,40.72621788
3304,"6 Ave & 9 St",-73.98377641,40.668127
301,"E 2 St & Avenue B",-73.98368779,40.72217444
3178,"Riverside Dr & W 78 St",-73.98362492,40.78414472
261,"Johnson St & Gold St",-73.98362464,40.69474881
3368,"5 Ave & 3 St",-73.98352355,40.6728155
485,"W 37 St & 5 Ave",-73.98338988,40.75038009
500,"Broadway & W 51 St",-73.98336183,40.76228826
349,"Rivington St & Ridge St",-73.98329859,40.71850211
3707,"Lexington Ave & E 26 St [temporarily removed]",-73.983293,40.741459
3232,"Bond St & Fulton St",-73.98304268717766,40.68962188790333
546,"E 30 St & Park Ave S",-73.98303529,40.74444921
3412,"Pacific St & Nevins St",-73.98302136,40.6853761
493,"W 45 St & 6 Ave",-73.98291153,40.7568001
3175,"W 70 St & Amsterdam Ave",-73.98288594,40.77748046
3335,"Union St & 4 Ave",-73.98282002,40.6772744
469,"Broadway & W 53 St",-73.98268129,40.76344058
3159,"W 67 St & Broadway",-73.98266566,40.77492513
3158,"W 63 St & Broadway",-73.98261428,40.77163851
356,"Bialystoker Pl & Delancey St",-73.98261206,40.71622644
418,"Front St & Gold St",-73.982578,40.70224
3731,"W 47 St & 6 Ave",-73.98255,40.758397
3245,"NYCBS DEPOT - DELANCEY",-73.9823305606842,40.71644423134479
540,"Lexington Ave & E 29 St [temporarily removed]",-73.98215353488922,40.74311555376486
3405,"5 St & 6 Ave",-73.98208968,40.6704836
3798,"W 40 St & 5 Ave",-73.982079,40.752269
461,"E 20 St & 2 Ave",-73.98205027,40.73587678
3306,"10 St & 7 Ave",-73.98199886,40.6662078
472,"E 32 St & Park Ave",-73.98194829,40.7457121
468,"Broadway & W 56 St",-73.98192338,40.7652654
499,"Broadway & W 60 St",-73.98191841,40.76915505
317,"E 6 St & Avenue B",-73.98185424,40.72453734
400,"Pitt St & Stanton St",-73.98178024,40.71926081
3914,"West End Ave & W 78 St",-73.981687,40.783786
504,"1 Ave & E 16 St [temporarily removed]",-73.98165557,40.73221853
3419,"Douglass St & 4 Ave",-73.98154004,40.6792788
3364,"Carroll St & 5 Ave",-73.9814832,40.6751622
445,"E 10 St & Avenue A",-73.98142006,40.72740794
239,"Willoughby St & Fleet St",-73.9813018,40.69196566
3169,"Riverside Dr & W 82 St",-73.98128127,40.78720869
502,"Henry St & Grand St",-73.981095,40.714211
324,"DeKalb Ave & Hudson Ave",-73.981013,40.689888
3167,"Amsterdam Ave & W 73 St",-73.98093044757842,40.77966809007312
150,"E 2 St & Avenue C",-73.98085795,40.7208736
144,"Nassau St & Navy St",-73.98068914,40.69839895
3711,"E 13 St & Avenue A",-73.98067966103554,40.72966729392978
2003,"1 Ave & E 18 St [temporarily removed]",-73.98054420948029,40.733812191966315
3680,"E 43 St & 5 Ave",-73.98025184869766,40.754120810779256
342,"Columbia St & Rivington St",-73.98016555,40.71739973
484,"W 44 St & 5 Ave",-73.98014437,40.75500254
393,"E 5 St & Avenue C",-73.97995466,40.72299208
3235,"E 41 St & Madison Ave",-73.97992193698882,40.752165280621966
3297,"6 St & 7 Ave",-73.97988067,40.6686627
3913,"Sands St Gate",-73.979827,40.699569
3443,"W 52 St & 6 Ave",-73.97982001304626,40.76132983124814
507,"E 25 St & 2 Ave",-73.97973776,40.73912601
298,"3 Ave & Schermerhorn St",-73.9796772,40.68683208
476,"E 31 St & 3 Ave",-73.97966069,40.74394314
3718,"E 11 St & Avenue B",-73.97950418293476,40.72746420692392
332,"Cherry St",-73.97948148,40.71219906
3423,"West Drive & Prospect Park West",-73.97945255041122,40.6610633719006
3724,"7 Ave & Central Park South",-73.9790689945221,40.7667405590595
3164,"Columbus Ave & W 72 St",-73.97898475,40.7770575
3793,"Stuyvesant Walk & 1 Av Loop",-73.97898383438587,40.732339777151054
467,"Dean St & 4 Ave",-73.97895137,40.68312489
3749,"Lexington Ave & E 36 St",-73.9788007736206,40.747573958954796
3917,"Willoughby St & Ashland Pl",-73.97877,40.69178
3361,"Carroll St & 6 Ave",-73.9787282,40.6740886
3360,"Amsterdam Ave & W 79 St",-73.9786517,40.7829391
3417,"Baltic St & 5 Ave",-73.97854971,40.6795766
3339,"Berkeley Pl & 6 Ave",-73.97846879,40.6765304
3809,"W 55 St & 6 Ave",-73.978434,40.763189
3365,"3 St & 7 Ave",-73.97839676,40.6703837
545,"E 23 St & 1 Ave",-73.97809472,40.736502
3233,"E 48 St & 5 Ave",-73.97805914282799,40.75724567911726
119,"Park Ave & St Edwards St",-73.97803415,40.69608941
302,"Avenue D & E 3 St",-73.97793172,40.72082834
517,"Pershing Square South",-73.97791,40.751581
3429,"Hanson Pl & Ashland Pl",-73.97790759801863,40.68506807308177
3163,"Central Park West & W 68 St",-73.97782542,40.7734066
519,"Pershing Square North",-73.977706,40.751873
394,"E 9 St & Avenue C",-73.97768752,40.72521311
3287,"W 87 St & West End Ave",-73.97757,40.789622
3172,"W 74 St & Columbus Ave",-73.97754961,40.7785669
174,"E 25 St & 1 Ave",-73.97738662,40.7381765
3161,"W 76 St & Columbus Ave",-73.97728532552719,40.7801839724239
3177,"W 84 St & Broadway",-73.977112,40.7867947
528,"2 Ave & E 31 St",-73.97706058,40.74290902
245,"Myrtle Ave & St Edwards St",-73.97703874,40.69327018
3437,"Riverside Dr & W 91 St",-73.97700369358063,40.79313480986663
3736,"E 12 St & Ave C",-73.976831,40.727243
2012,"E 27 St & 1 Ave",-73.976806,40.739445
411,"E 6 St & Avenue D",-73.97668709,40.72228087
274,"Lafayette Ave & Fort Greene Pl",-73.976682,40.68691865
3171,"Amsterdam Ave & W 82 St",-73.97667321,40.78524672
520,"W 52 St & 5 Ave",-73.97648516,40.75992262
3300,"Prospect Park West & 8 St",-73.97637605667114,40.66514681533792
2006,"Central Park S & 6 Ave",-73.97634151,40.76590936
83,"Atlantic Ave & Fort Greene Pl",-73.97632328,40.68382604
341,"Stanton St & Mangin St",-73.97628939,40.71782143
3165,"Central Park West & W 72 St",-73.9762057363987,40.77579376683666
167,"E 39 St & 3 Ave",-73.97604882,40.7489006
3918,"Avenue D & E 8 St",-73.975767,40.72387
487,"E 20 St & FDR Drive",-73.97573881,40.73314259
3414,"Bergen St & Flatbush Ave",-73.97567331790923,40.680944723477296
536,"1 Ave & E 30 St",-73.97536082,40.74144387
3346,"Berkeley Pl & 7 Ave",-73.97523209452629,40.675146838709786
3415,"Prospect Pl & 6 Ave",-73.97519523,40.6793307
359,"E 47 St & Park Ave",-73.97498696,40.75510267
241,"DeKalb Ave & S Portland Ave",-73.97493121,40.68981035
3358,"Garfield Pl & 8 Ave",-73.97484126,40.6711978
3285,"W 87 St & Amsterdam Ave",-73.9747,40.78839
3687,"E 33 St & 1 Ave",-73.97449783980846,40.74322681432173
353,"S Portland Ave & Hanson Pl",-73.97431458,40.68539567
339,"Avenue D & E 12 St",-73.97422494,40.72580614
3307,"West End Ave & W 94 St",-73.974124,40.7941654
456,"E 53 St & Madison Ave",-73.97402311,40.7597108
3733,"Avenue C & E 18 St",-73.973984,40.730563
3293,"W 92 St & Broadway",-73.9739,40.7921
3160,"Central Park West & W 76 St",-73.97374737,40.77896784
242,"Carlton Ave & Flushing Ave",-73.973736,40.697787
262,"Washington Park",-73.9737299,40.6917823
281,"Grand Army Plaza & Central Park S",-73.97371465,40.7643971
3354,"3 St & Prospect Park West",-73.97363831,40.668132
419,"Carlton Ave & Park Ave",-73.97355569,40.69580705
518,"E 39 St & 2 Ave",-73.9734419,40.74780373
3416,"7 Ave & Park Pl",-73.97324283,40.6776147
3289,"W 90 St & Amsterdam Ave",-73.97288918495178,40.79017948095081
3170,"W 84 St & Columbus Ave",-73.97283406,40.78499979
440,"E 45 St & 3 Ave",-73.97282625,40.75255434
416,"Cumberland St & Lafayette Ave",-73.97265183,40.68753406
3814,"E 56 St & Madison Ave",-73.972628,40.761573
3457,"E 58 St & Madison Ave",-73.97209525108337,40.76302594280519
522,"E 51 St & Lexington Ave",-73.97207836,40.75714758
3314,"W 95 St & Broadway",-73.971888,40.7937704
228,"E 48 St & 3 Ave",-73.971878855,40.7546011026
270,"Adelphi St & Myrtle Ave",-73.97178913,40.69308257
3136,"5 Ave & E 63 St",-73.971518,40.766368
3787,"Dock 72 Way & Market St",-73.97141,40.69985
3226,"W 82 St & Central Park West",-73.97137,40.78275
421,"Clermont Ave & Park Ave",-73.97129668,40.69573398
2017,"E 43 St & 2 Ave",-73.97121414,40.75022392
501,"FDR Drive & E 35 St",-73.97121214,40.744219
3331,"Riverside Dr & W 104 St",-73.9711457439,40.8013434
3418,"Plaza St West & Flatbush Ave",-73.97111473,40.6750207
3132,"E 59 St & Madison Ave",-73.97109243,40.76350532
3537,"Carlton Ave & Dean St",-73.9710097,40.6809741
2005,"Railroad Ave & Kay Ave",-73.97100056,40.70531194
3349,"Grand Army Plaza & Plaza St West",-73.97087984,40.6729679
3648,"Flushing Ave & Vanderbilt Ave",-73.97077560424805,40.697950315695444
367,"E 53 St & Lexington Ave",-73.97069431,40.75828065
3283,"W 89 St & Columbus Ave",-73.97041561,40.7882213
3350,"W 100 St & Broadway",-73.97041192,40.7973721
164,"E 47 St & 2 Ave",-73.97032517,40.75323098
343,"Clinton Ave & Flushing Ave",-73.96986848,40.69794
420,"Clermont Ave & Lafayette Ave",-73.96968902,40.68764484
3168,"Central Park West & W 85 St",-73.96961715,40.78472675
397,"Fulton St & Clermont Ave",-73.96922273,40.68415748
455,"1 Ave & E 44 St",-73.96905301,40.75001986
3576,"Park Pl & Vanderbilt Ave",-73.969024,40.6767
366,"Clinton Ave & Myrtle Ave",-73.968896,40.693261
258,"DeKalb Ave & Vanderbilt Ave",-73.96885458,40.68940747
3355,"E 66 St & Madison Ave",-73.96845281124115,40.76800889305947
282,"Kent Ave & S 11 St",-73.96841526031494,40.707644944175705
3366,"West End Ave & W 107 St",-73.9681805305,40.8021174
3301,"Columbus Ave & W 95 St",-73.968087,40.7919557
3558,"Bergen St & Vanderbilt Ave",-73.9680438,40.6794388
516,"E 47 St & 1 Ave",-73.96784384,40.75206862
3815,"E 51 St & 2 Ave",-73.967641,40.755293
464,"E 56 St & 3 Ave",-73.96759673,40.75934501
313,"Washington Ave & Park Ave",-73.96751037,40.69610226
305,"E 58 St & 3 Ave",-73.96724467,40.76095756
3581,"Underhill Ave & Lincoln Pl",-73.9671457,40.6740123
3359,"E 68 St & Madison Ave",-73.96703464,40.7691572
3383,"Cathedral Pkwy & Broadway",-73.96699104,40.804213
3137,"5 Ave & E 73 St",-73.96685276,40.77282817
3689,"W 104 St & Amsterdam Ave",-73.96649479866028,40.799041392882984
3357,"W 106 St & Amsterdam Ave",-73.9664492472,40.8008363
385,"E 55 St & 2 Ave",-73.96603308,40.75797322
3637,"Fulton St & Waverly Ave",-73.96599590778351,40.683238654603414
454,"E 51 St & 1 Ave",-73.96592976,40.75455731
3231,"E 67 St & Park Ave",-73.96592080593109,40.76780080148132
460,"S 4 St & Wythe Ave",-73.96590294,40.71285887
3574,"Prospect Pl & Underhill Ave",-73.96579,40.6769694
275,"Washington Ave & Greene Ave",-73.96563307,40.68650065
244,"Willoughby Ave & Hall St",-73.96536851,40.69196035
3134,"3 Ave & E 62 St",-73.96526895,40.76312584
389,"Broadway & Berry St",-73.96525063,40.71044554
3552,"W 113 St & Broadway",-73.964928,40.805973
3295,"Central Park W & W 96 St",-73.964839,40.79127
399,"Lafayette Ave & St James Pl",-73.9647628,40.68851534
3544,"Underhill Ave & Pacific St",-73.9646795,40.6804836
